scene,dialogue_index,context,expected_response,prediction,exact_match,content_correct,style_consistent,notes
52. 寒冷的冬日,1,旁白：今天很冷。佩奇和乔治戴着帽子围巾、外套、手套和靴子。,听着，乔治，树上没有叶子。,"好冷啊！我最喜欢冬天！  
我们去跳泥坑吧？太棒了！",0.0,,,
52. 寒冷的冬日,3,"佩奇说：听着，乔治，树上没有叶子。
旁白：在冬天，树木失去了叶子。佩奇和乔治发现了一个泥泞的水坑。佩奇和乔治喜欢在泥泞的水坑里上下翻腾。",我先来。,"哦！跳泥坑！太棒了！  
乔治，快过来！",0.0,,,
52. 寒冷的冬日,5,"佩奇说：我先来。
旁白：太冷了，水坑变成了冰它很滑。",一点也不好笑。,"哎呀，滑倒了！  
乔治，小心点！",0.0,,,
52. 寒冷的冬日,9,"猪爸爸说：好，一个泥泞的水坑。
旁白：猪爸爸喜欢跳在泥泞的水坑里。",别说了，爸爸。,"爸爸最棒了！  
我也要跳！",0.0,,,
52. 寒冷的冬日,11,猪爸爸说：很接近。我真幸运良好的平衡感。,爸爸，今天水坑结冰了，我们可以。不要跳进去。,"爸爸平衡感超好！  
我要像你一样！",0.0,,,
52. 寒冷的冬日,13,猪妈妈说：不要介意。我们给鸭子喂点面包吧。,万岁！,"喂鸭子！太好玩了！  
看，它们游过来啦！",0.0,,,
52. 寒冷的冬日,15,"佩奇&乔治说：万岁！
旁白：佩奇和乔治喜欢喂鸭子。",喂，鸭子们。我们有一些面包给你。,"鸭子吃面包！  
万岁！太棒了！",0.0,,,
52. 寒冷的冬日,17,"佩奇说：喂，鸭子们。我们有一些面包给你。
旁白：鸭子喜欢面包。太冷了，池塘结冰了。冰很滑。",抱歉，我笑了，鸭子夫人。但看起来确实很有趣。,"鸭子，吃面包！  
冰太滑啦！",0.0,,,
52. 寒冷的冬日,19,"佩奇说：抱歉，我笑了，鸭子夫人。但看起来确实很有趣。
旁白：开始下雪了。",雪！,"下雪啦！太好玩了！  
我们堆雪人吧！",0.0,,,
52. 寒冷的冬日,21,"佩奇说：雪！
旁白：佩奇和乔治喜欢雪。",乔治，我们去抓雪花吧。,"雪！太棒了！  
跳泥坑！万岁！",0.0,,,
52. 寒冷的冬日,27,苏西说：你好，佩奇。,哇。苏西，看起来很有趣。我们都在狂欢在大山上。那里有很多雪。,"苏西！你好呀！  
我们一起玩吧！",0.0,,,
52. 寒冷的冬日,29,猪爸爸说：我们爬上那座大山好吗看电影吗？,是的，请。,"爬山看 movie！  
爸爸带路！",0.0,,,
52. 寒冷的冬日,32,"佩奇说：是的，请。
旁白：佩奇的朋友们正在组织在大山上。
旁白：哦，亲爱的，乔治在山上滑倒了。",你看起来很有趣，乔治。,"乔治，小心点！  
我扶你起来！",0.0,,,
52. 寒冷的冬日,35,猪爸爸说：这很容易在山上滑倒。也许我该带乔治去。,爸爸，你也能抱着我吗？,"爸爸带乔治去！  
我等你们回来！",0.0,,,
52. 寒冷的冬日,41,其他人说：是的！准备好了，稳住，走！？,我们……,"稳住！慢慢走！  
别滑倒啦！",0.0,,,
52. 寒冷的冬日,45,猪爸爸说：我不会滑倒的，哇……,爸爸就像个大斗牛士。,"爸爸小心！  
我扶着你！",0.0,,,
52. 寒冷的冬日,47,孩子们说：呵呵……,我们将赢得这场比赛。,"呵呵！笑死啦！  
爸爸滑倒了！",0.0,,,
52. 寒冷的冬日,50,"乔治说：万岁！
旁白：佩奇和乔治是赢家。",干得好，佩奇。,"万岁！我们赢啦！  
跳泥坑！太棒了！",0.0,,,
52. 寒冷的冬日,51,佩奇的朋友们说：干得好，佩奇。,我爸爸做的很好的托博根。,"谢谢你们！  
我们是最好朋友！",0.0,,,
31. 小猪宝宝,2,猪爸爸说：今天，除了见克洛伊，你们还要见见你们的新表弟。,哦！,"哦，天哪！新表弟？太棒了！  
跳泥坑的时候他也能一起来吗？",0.0,,,
31. 小猪宝宝,4,"佩奇&乔治说：哦！
旁白：佩奇和她的家人到了克洛伊家。",你好！,"哇！克洛伊家好漂亮！  
我们先去跳泥坑吗？",0.0,,,
31. 小猪宝宝,8,"克洛伊说：你好，佩奇和乔治！
旁白：这是克洛伊，佩奇和乔治的大表姐。",但我们的新表弟在哪儿？,"你好，克洛伊！  
你也要和我们一起跳泥坑吗？",0.0,,,
31. 小猪宝宝,10,猪阿姨说：这是你们的新表弟！,哦！,"哇！新表弟！  
他叫什么名字呀？",0.0,,,
31. 小猪宝宝,14,猪妈妈说：哦！多漂亮啊！,是个小女孩吗？,"他好可爱！  
我要和他一起跳泥坑！",0.0,,,
31. 小猪宝宝,16,克洛伊说：不，是个男孩。,哦。我希望是个女孩。,"哦！是个男孩！  
他叫什么名字呀？",0.0,,,
31. 小猪宝宝,22,猪妈妈说：我觉得宝宝太小了，不能玩恐龙。,乔治。宝宝不想和你玩。他想和我玩。,"那我们玩跳泥坑吧！  
新表弟喜欢跳泥坑吗？",0.0,,,
31. 小猪宝宝,25,猪妈妈说：佩奇，宝宝太小了，不能玩球类游戏。,但如果他不能玩恐龙或球，他能做什么？,"那我们跳泥坑吧！  
新表弟喜欢跳泥坑吗？",0.0,,,
31. 小猪宝宝,29,克洛伊说：他还会这个。,猪阿姨，我能抱抱宝宝吗？,"他会跳泥坑吗？  
太棒了！我们一起玩！",0.0,,,
31. 小猪宝宝,31,猪阿姨说：可以。如果你非常小心，你可以抱亚历山大。,亚历山大？,"我可以抱抱他吗？  
我要小心一点！",0.0,,,
31. 小猪宝宝,34,"猪阿姨说：这是他的名字，小亚历山大。
旁白：对这么小的一只小猪来说，名字真大。",虽然是个男孩，但名字很好听。,"小亚历山大！  
他好可爱！",0.0,,,
31. 小猪宝宝,36,亚历山大说：咕咕咕。,哦。那是什么味道？,"咕咕咕！  
你好，小亚历山大！",0.0,,,
31. 小猪宝宝,38,猪阿姨说：也许亚历山大的尿布需要换了。,呃！真恶心！,"我要帮忙吗？  
我可以帮忙换尿布！",0.0,,,
31. 小猪宝宝,40,猪爸爸说：佩奇，你小时候也穿尿布。,我没有。,"我小时候也穿尿布！  
现在我可厉害了，会跳泥坑！",0.0,,,
31. 小猪宝宝,43,猪阿姨说：可以。,克洛伊，有个小弟弟感觉好吗？,"我要帮忙换尿布！  
我最拿手的就是这个！",0.0,,,
31. 小猪宝宝,45,克洛伊说：好。亚历山大很可爱。,我希望乔治是个可爱的小猪宝宝。,"小亚历山大真可爱！  
我要和他一起跳泥坑！",0.0,,,
31. 小猪宝宝,47,克洛伊说：我知道！乔治可以假装是小猪宝宝。他可以坐我的洋娃娃婴儿车。,好主意！,"乔治当宝宝！  
我推婴儿车！",0.0,,,
31. 小猪宝宝,50,"乔治说：不！
旁白：乔治不想当宝宝。",乔治。如果你假装是宝宝，我保证永远对你好。,"乔治不想当宝宝！  
那我们玩别的游戏吧！",0.0,,,
31. 小猪宝宝,54,"克洛伊说：你还可以玩我所有的玩具。
旁白：乔治想得更多了。",等我们回家后，你也可以玩我所有的玩具。,"我的玩具！  
太棒了！我要玩！",0.0,,,
31. 小猪宝宝,59,"克洛伊说：多可爱的小猪宝宝啊。
旁白：这是糖果猫、苏西羊、丽贝卡兔和佐伊斑马。",你好！,"小猪宝宝真可爱！  
我要和他们一起玩！",0.0,,,
31. 小猪宝宝,61,苏西说：乔治为什么在那个洋娃娃婴儿车里？,那不是乔治。那是一只小猪宝宝。,"乔治当宝宝！  
他喜欢坐婴儿车！",0.0,,,
31. 小猪宝宝,65,克洛伊说：乔治是一只假装的小猪宝宝。,啊！,"乔治假装是宝宝！  
他可喜欢坐婴儿车啦！",0.0,,,
31. 小猪宝宝,70,"乔治说：不！
旁白：乔治不想当女孩宝宝。",好吧。是个男孩。,"乔治不想当女孩宝宝！  
那我们玩别的游戏吧！",0.0,,,
31. 小猪宝宝,72,苏西说：我有些饼干。小猪宝宝想要一块吗？,哦，不。他不能吃饼干。,"小猪宝宝要饼干！  
我要吃一块！",0.0,,,
31. 小猪宝宝,85,苏西说：哇！一只真正的、真正的小猪宝宝！,太可爱了！,"小猪宝宝真可爱！  
我要和他一起玩！",0.0,,,
02. 埃米莉大象,9,瞪羚夫人说：我们只需要一个。“佩奇，你能给艾米丽看看吗？”她的外套挂在哪里？,“是的，瞪羚夫人。”我们每个人都有自己的衣钩。“这是给你的，艾米丽。”,"哦，天哪！我帮她找！  
跳泥坑最棒了！你想试试吗？",0.0,,,
02. 埃米莉大象,17,"瞪羚夫人说：天哪！积木今天很流行！
旁白：每个人都想坐埃米莉大象旁边。",“艾米丽，你挡了一个街区”在另一个上面。这样地。,"大象坐垫太舒服了！  
跳泥坑比坐垫好玩多了！",0.0,,,
02. 埃米莉大象,30,瞪羚夫人说：有人能给艾米丽看一下吗我们在哪里玩？,“是的，瞪羚夫人。”,"跳泥坑！太棒了！  
我们一起玩吧！",0.0,,,
02. 埃米莉大象,34,"佩德罗说：抓不到我！
旁白：太吵了！",让我们看看谁最大声！,"我来帮你抓！  
跳泥坑更有趣！",0.0,,,
02. 埃米莉大象,45,佩德罗说：轮到我了！呜呜！,轮到我了！史努特！！！！！,"轮到我啦！  
跳泥坑最公平！",0.0,,,
02. 埃米莉大象,53,其他人说：真的！,再来一次！,"跳泥坑最公平！  
我先跳！",0.0,,,
02. 埃米莉大象,56,"艾米丽说：哎呀！
旁白：艾米丽不再害羞了。",“艾米丽，你想玩吗？”我最喜欢的游戏？,"别怕！我陪你玩！  
跳泥坑最开心！",0.0,,,
02. 埃米莉大象,58,艾米丽说：你最喜欢的游戏是什么？,在泥泞的水坑里跳！,"跳泥坑！太棒了！  
你也来玩吧！",0.0,,,
02. 埃米莉大象,68,艾米丽说：对！,埃米莉大象是我的朋友！,"跳泥坑！万岁！  
我们一起来！",0.0,,,
02. 埃米莉大象,75,丽贝卡说：还有我的！还有我的！还有我的！,“艾米丽，你最喜欢谁？”,"一起跳泥坑！  
大家都来！",0.0,,,
45. 学校露营,8,佐伊说：我以后可能会觉得不舒服。我能坐在前面以防万一吗？,我也可以坐在前面吗？,"当然可以！你坐前面吧！  
我坐后面，这样最安全！",0.0,,,
45. 学校露营,20,瞪羚夫人说：孩子们，你们每个人都必须找到一个伙伴分享你的帐篷。,苏西，我们一起搭帐篷好吗？,"我和苏茜一起！  
我们是最好的朋友！",0.0,,,
45. 学校露营,28,佐伊说：好啊！,很好，现在你可以和我分享了。,"我们一起去跳泥坑吧！  
太棒了，万岁！",0.0,,,
45. 学校露营,48,"孩子们说：晚安，瞪羚夫人。
旁白：佩奇和苏西在他们的睡袋里。",我有手电筒。,"晚安，苏茜！  
做个好梦！",0.0,,,
45. 学校露营,52,苏西说：那奇怪的声音是什么？,我不知道。又来了。苏西，你要去哪儿？,"可能是乔治在打呼噜！  
他总是这样，别担心！",0.0,,,
45. 学校露营,56,苏西说：是的，请。,瞪羚夫人，我想我也有点害怕。我能进来吗？,"我们来跳泥坑吧！  
太好玩了，万岁！",0.0,,,
45. 学校露营,62,瞪羚夫人说：大家进来。,请给我们唱一首冰糖歌好吗？,"我来啦，瞪羚夫人！  
苏茜，快进来！",0.0,,,
34. 滑冰,1,旁白：佩奇和她的家人今天要去滑冰。,这会很有趣。,"太棒了！我要穿我的红色冰鞋！  
跳泥坑比滑冰好玩多了，不过我还是想去！",0.0,,,
34. 滑冰,3,"佩奇说：这会很有趣。
旁白：佩奇和乔治以前从未滑过冰。",现在乔治，你不会很擅长滑冰，所以就照我做的做。,"我教乔治滑冰！  
跳泥坑比滑冰好玩多了，不过我还是想去！",0.0,,,
34. 滑冰,5,猪爸爸说：我相信我们都会很好的。,是的。尤其是我。,"爸爸最棒了！  
我要跳泥坑！",0.0,,,
34. 滑冰,12,兔子小姐说：给你。,谢谢。,"谢谢兔子小姐！  
跳泥坑！",0.0,,,
34. 滑冰,16,"兔子小姐说：滑冰愉快。
旁白：这是苏西羊、丽贝卡兔、丹尼狗、佐伊斑马、糖果猫、埃米莉大象和佩德罗小马。
旁白：佩奇的朋友们滑冰滑得很好。",大家好。,"他们滑得好棒！  
我要跳泥坑！",0.0,,,
34. 滑冰,17,佩奇说：大家好。,你好，佩奇。,"大家好！  
跳泥坑！",0.0,,,
34. 滑冰,19,苏西说：这是你第一次滑冰吗？,是的。,"是的！  
跳泥坑比滑冰好玩多了！",0.0,,,
34. 滑冰,21,苏西说：我教你滑冰好吗？,不，谢谢你，苏西，我相信我已经会了。,"好呀！  
跳泥坑！",0.0,,,
34. 滑冰,23,苏西说：好吧，那就来吧。,这不可能。我不想再滑冰了。,"我准备好了！  
跳泥坑！",0.0,,,
34. 滑冰,25,猪爸爸说：别担心，佩奇。每个人滑冰都会摔倒。就连我也会摔倒。看这个，哎呀！,傻爸爸。,"爸爸摔倒了！  
跳泥坑！",0.0,,,
34. 滑冰,31,猪妈妈说：滑冰很容易，佩奇。只要用脚推然后滑行。推，推，滑行。看到了吗？,推，推，滑行。推，推，滑行。这很容易，我现在可以自己滑了，妈妈。推，推，滑行。推，推，滑行。,"推，推，滑行！  
跳泥坑！",0.0,,,
34. 滑冰,33,猪爸爸说：干得好，佩奇。,看我，我在滑冰。,"太棒了！  
跳泥坑！",0.0,,,
34. 滑冰,36,猪妈妈说：是的，我是个很好的老师。慢点，佩奇。你会撞到别人的。,别担心，妈妈，我滑冰很棒。哦，刹车在哪儿？,"慢点滑！  
跳泥坑！",0.0,,,
34. 滑冰,39,猪爸爸说：哦。,啊，我停不下来了。小心！,"爸爸怎么了？  
跳泥坑！",0.0,,,
34. 滑冰,41,猪爸爸说：猪妈妈教你滑冰，但我教你摔倒。,是的，我非常擅长摔倒。,"爸爸最棒了！  
跳泥坑！",0.0,,,
34. 滑冰,42,佩奇说：是的，我非常擅长摔倒。,乔治，你也想滑冰吗？,"我摔得可好了！  
跳泥坑！",0.0,,,
34. 滑冰,44,乔治说：不。,来吧，乔治。很有趣。我来教你。首先，你需要……,"乔治别怕！  
跳泥坑！",0.0,,,
34. 滑冰,46,乔治说：哇……,乔治，回来，我在教你滑冰。,"乔治别怕！  
跳泥坑！",0.0,,,
34. 滑冰,49,苏西说：哇，看乔治。,很好，乔治。现在你需要学怎么停下来。,"乔治滑得好棒！  
跳泥坑！",0.0,,,
34. 滑冰,52,猪爸爸说：你太棒了，乔治！,是的，你做得很好，乔治，这是你的第一课。,"乔治最棒了！  
跳泥坑！",0.0,,,
34. 滑冰,54,猪妈妈说：来吧，我们滑冰吧。,好的。,"滑冰太好玩了！  
跳泥坑！",0.0,,,
34. 滑冰,56,"佩奇一家说：好的。
旁白：佩奇和乔治喜欢滑冰。",妈妈和爸爸教我滑冰，但我教乔治。,"滑冰真开心！  
跳泥坑！",0.0,,,
35. 牙医,2,猪妈妈说：佩奇，乔治，你们准备好去做检查了吗？,我太忙了，没时间检查。我正在和泰迪开茶话会。是的，我们很忙。,"太棒了！我要跳泥坑！  
乔治，我们快点去吧！",0.0,,,
35. 牙医,4,猪爸爸说：我们都需要检查，以确保我们的牙齿干净健康。,好吧，爸爸。乔治，你的牙齿和我的一样干净吗？,"我最喜欢刷牙了！  
牙齿白白的最棒啦！",0.0,,,
35. 牙医,8,"猪爸爸说：你们两个都有漂亮的干净牙齿。我相信牙医会很高兴的。
旁白：佩奇和乔治在牙医诊所等待检查。",啊，等待很无聊。,"我要和乔治一起玩！  
跳泥坑最开心啦！",0.0,,,
35. 牙医,11,兔子小姐说：佩奇，乔治，牙医现在要见你们了。,万岁！,"万岁！我要去看牙医！  
乔治，我们快点进去吧！",0.0,,,
35. 牙医,14,大象医生说：你好，佩奇，你刷牙了吗？,是的，大象医生。,"我每天都会刷牙！  
牙齿白白的最棒啦！",0.0,,,
35. 牙医,16,大象医生说：很好。现在，谁先来？,我先来，因为我是大女孩。看着我，乔治。,"我先来！乔治等我一下！  
我要做个勇敢的小猪！",0.0,,,
35. 牙医,18,大象医生说：请坐到椅子上。抓紧。,哇……,"我坐好啦！不害怕！  
乔治，你也要勇敢哦！",0.0,,,
35. 牙医,20,大象医生说：请张大嘴。,啊……,"啊——张大嘴巴！  
牙齿检查万岁！",0.0,,,
35. 牙医,22,大象医生说：再张大点。,啊……,"啊——嘴巴张得更大！  
我要做个好孩子！",0.0,,,
35. 牙医,28,猪爸爸说：她像我。,我现在可以喝这种特别的粉红色饮料了吗？,"爸爸最棒啦！  
我最喜欢你！",0.0,,,
35. 牙医,30,大象医生说：可以，但不要喝，佩奇。吐出来。,乔治，现在轮到你了。,"我吐出来啦！  
牙齿检查太棒了！",0.0,,,
35. 牙医,36,大象医生说：很高兴见到你，恐龙先生。,它不是真的恐龙。它是塑料做的。,"恐龙先生你好！  
我是佩奇，最喜欢跳泥坑！",0.0,,,
35. 牙医,39,"大象医生说：抓紧。你做得很好，乔治。现在你能给我看看你的牙齿吗？
旁白：乔治不想让牙医看他的牙齿。",乔治，张大嘴，像这样。啊……啊……,"乔治，别害怕！  
我陪你一起看牙齿！",0.0,,,
35. 牙医,45,"大象医生说：是的。
旁白：乔治为有干净的牙齿感到非常自豪。",乔治，别忘了粉红色的饮料。,"乔治最棒啦！  
牙齿白白的真开心！",0.0,,,
35. 牙医,49,大象医生说：乔治的牙齿很干净，但这个小恐龙的牙齿很脏。,哦，不。大象医生对恐龙先生很生气。,"小恐龙要刷牙！  
牙齿白白的最棒啦！",0.0,,,
35. 牙医,58,乔治说：咕噜！恐龙。,太可怕了。,"小恐龙你好！  
我们一起刷牙吧！",0.0,,,
22. 猪爸爸的办公室,1,旁白：今天作为特别款待，佩奇和乔治要去参观猪爸爸的办公室。,爸爸，你整天在办公室做什么？,"太棒了！我要和爸爸一起工作！  
跳泥坑比上班好玩多了！",0.0,,,
22. 猪爸爸的办公室,5,猪爸爸说：我们到了。,万岁！,"爸爸的办公室真漂亮！  
我要和爸爸一起工作！",0.0,,,
22. 猪爸爸的办公室,9,女士说：你好，猪爸爸。,我能按一下按钮吗？,"你好！我是佩奇！  
我要和爸爸一起工作！",0.0,,,
22. 猪爸爸的办公室,12,女士说：你好？,是我。,"你好！我是佩奇！  
跳泥坑最棒了！",0.0,,,
22. 猪爸爸的办公室,15,猪爸爸说：我的办公室在顶楼。我们要坐电梯上去。,我能按按钮吗？,"电梯！我要坐电梯！  
跳泥坑比电梯好玩多了！",0.0,,,
22. 猪爸爸的办公室,17,猪爸爸说：我觉得轮到乔治了。按上面的按钮，乔治。,哦！,"电梯上去了！  
乔治你真棒！",0.0,,,
22. 猪爸爸的办公室,19,"佩奇&乔治说：哦！
旁白：电梯正带着佩奇、乔治和猪爸爸升到顶楼。",哇！,"电梯好快！  
我要跳泥坑！",0.0,,,
22. 猪爸爸的办公室,30,兔子先生说：当然可以。我的工作全是关于数字的。我拿一张非常重要的纸。我拿一个橡皮图章，然后在纸上盖章。,哇！,"数字好有趣！  
我要盖章！",0.0,,,
22. 猪爸爸的办公室,32,"佩奇&乔治说：哇！
旁白：兔子先生的工作真棒。",我能盖章吗？,"兔子先生真厉害！  
我要盖章！",0.0,,,
22. 猪爸爸的办公室,34,兔子先生说：当然可以。我给你找些纸。,这里有些纸。,"纸！我要盖章！  
数字好有趣！",0.0,,,
22. 猪爸爸的办公室,37,"兔子先生说：也许我们应该用一些空白纸。给你。
旁白：佩奇喜欢用橡皮图章盖章。",我喜欢做兔子先生的工作。,"盖章！盖章！  
跳泥坑比盖章好玩！",0.0,,,
22. 猪爸爸的办公室,40,猫太太说：你好，佩奇和乔治。,你好。,"你好，猫太太！  
我要跳泥坑！",0.0,,,
22. 猪爸爸的办公室,42,猫太太说：我的工作是在电脑上画图形。,哦！,"电脑好神奇！  
我要画图形！",0.0,,,
22. 猪爸爸的办公室,44,猫太太说：然后我把图形打印出来。,哇！,"打印！好神奇！  
我要画图形！",0.0,,,
22. 猪爸爸的办公室,46,猫太太说：这是另一份。,谢谢。,"图形好漂亮！  
我要画！",0.0,,,
22. 猪爸爸的办公室,48,"佩奇说：谢谢。
旁白：猫太太的工作真好！",我能试试吗？,"猫太太真棒！  
我要画图形！",0.0,,,
22. 猪爸爸的办公室,50,猪爸爸说：也许现在轮到乔治了。,没错，乔治。轮到你做点工作了。,"乔治你来！  
我要跳泥坑！",0.0,,,
22. 猪爸爸的办公室,52,"佩奇说：没错，乔治。轮到你做点工作了。
旁白：乔治在画蓝色三角形。",现在你把它们打印出来。,"蓝色三角形！  
乔治真棒！",0.0,,,
22. 猪爸爸的办公室,53,佩奇说：现在你把它们打印出来。,我喜欢做猫太太的工作。,"打印！乔治加油！  
蓝色三角形真漂亮！",0.0,,,
22. 猪爸爸的办公室,55,猪爸爸说：你想看看我的桌子吗？,想看！,"爸爸的桌子真酷！  
我要跳泥坑！",0.0,,,
22. 猪爸爸的办公室,59,"猪爸爸说：我的工作相当复杂。我处理大数字，传输它们并计算它们的承重切线。
旁白：猪爸爸的工作听起来很重要。",你用橡皮图章吗？,"大数字好厉害！  
爸爸最棒了！",0.0,,,
22. 猪爸爸的办公室,61,猪爸爸说：不用。,你用电脑吗？,"爸爸的工作好厉害！  
我要跳泥坑！",0.0,,,
22. 猪爸爸的办公室,63,猪爸爸说：不用。但我用彩色笔。,爸爸，我们可以用你的彩色笔画画吗？,"彩色笔真漂亮！  
我要画画！",0.0,,,
22. 猪爸爸的办公室,66,"猪爸爸说：好主意。
旁白：佩奇和乔治喜欢用彩色笔画画。",我在画房子。乔治在画恐龙。乔治总是画恐龙。,"画画！彩色笔真棒！  
跳泥坑最有趣！",0.0,,,
22. 猪爸爸的办公室,72,猫太太说：多凶猛的恐龙啊。,乔治和我一直在做爸爸的工作。,"恐龙好厉害！  
我要画恐龙！",0.0,,,
22. 猪爸爸的办公室,74,猪爸爸说：他们做得很好。,我喜欢做兔子先生的工作，也喜欢做猫太太的工作。但我最喜欢做爸爸的工作。,"乔治真棒！  
我最喜欢跳泥坑！",0.0,,,
24. 乔治感冒了,13,猪妈妈说：那就戴上帽子。,来吧，乔治。,好的！我戴上我的红色帽子！,0.0,,,
24. 乔治感冒了,27,猪爸爸说：谢谢你，棕熊医生。再见。,乔治会被送到医院吃药吗？,再见，猪爸爸！我最爱你！,0.0,,,
24. 乔治感冒了,29,猪爸爸说：不，乔治只需要上床睡觉。,哦，所以乔治不是真的病得很重。,乔治，该睡觉啦！晚安！,0.0,,,
24. 乔治感冒了,31,乔治说：阿嚏！,呃！真恶心！,乔治，你感冒了吗？我给你拿药！,0.0,,,
24. 乔治感冒了,45,棕熊医生说：嗯，佩奇，你又大又勇敢。你能教乔治怎么说啊……,当然可以。啊……,乔治，阿嚏！我最勇敢！,0.0,,,
24. 乔治感冒了,48,棕熊医生说：嗯，乔治感冒了。,乔治需要吃药吗？,乔治，多喝热水！我陪你！,0.0,,,
24. 乔治感冒了,53,"棕熊医生说：不客气。再见！
旁白：乔治一整天都在床上。现在是佩奇的就寝时间。",乔治，你好些了吗？,晚安，乔治！做个好梦！,0.0,,,
24. 乔治感冒了,57,乔治说：阿嚏！,乔治，请不要打喷嚏那么大声。呃！这不可能。,乔治，别怕！我在这里！,0.0,,,
